Rk,Player,UrlWebsite,UrlPhoto
1,Max Aarons,https://www.zerozero.pt/jogador/max-aarons/524040?epoca_id=153,https://www.zerozero.pt/img/jogadores/new/40/40/524040_max_aarons_20250127215951.png
2,Max Aarons,https://www.zerozero.pt/jogador/max-aarons/524040,https://www.zerozero.pt/img/jogadores/new/40/40/524040_max_aarons_20250127215951.png
3,Rodrigo Abajas,https://www.zerozero.pt/jogador/rodrigo-abajas/1205747,https://www.zerozero.pt/img/jogadores/new/57/47/1205747_rodrigo_abajas_20241114115231.png
4,James Abankwah,https://www.zerozero.pt/jogador/james-abankwah/877144?epoca_id=153,https://www.zerozero.pt/img/jogadores/new/71/44/877144_james_abankwah_20240302025146.jpg
5,Keyliane Abdallah,https://www.zerozero.pt/jogador/keyliane-abdallah/1056190,https://www.zerozero.pt/img/jogadores/new/61/90/1056190_keyliane_abdallah__20240331210055.jpg
6,Yunis Abdelhamid,https://www.zerozero.pt/jogador/yunis-abdelhamid/215614,https://www.zerozero.pt/img/jogadores/14/215614_20231119225726_yunis_abdelhamid.png
7,Himad Abdelli,https://www.zerozero.pt/jogador/himad-abdelli/636306,https://www.zerozero.pt/img/jogadores/new/63/06/636306_himad_abdelli_20241204171234.png
8,Mohamed Abdelmoneim,https://fbref.com/pt/jogadores/bff15d74/Mohamed-Abdelmoneim,
9,Ali Abdi,https://www.zerozero.pt/jogador/ali-abdi/447859,https://www.zerozero.pt/img/jogadores/new/78/59/447859_ali_abdi_20250113202927.png
10,Saud Abdulhamid,https://www.zerozero.pt/jogador/saud-abdulhamid/690437,https://www.zerozero.pt/img/jogadores/new/04/37/690437_saud_abdulhamid_20241220121402.png
11,Abel,https://www.zerozero.pt/jogador/abel-bretones/705713,https://www.zerozero.pt/img/jogadores/new/97/81/1099781_abel_bretones_20240207081712.jpg
12,Nabil Aberdin,https://www.zerozero.pt/jogador/nabil-aberdin/937864,https://www.zerozero.pt/img/jogadores/new/78/64/937864_nabil_aberdin_20241123191834.png
13,Oliver Abildgaard,https://www.zerozero.pt/jogador/oliver-abildgaard/468808,https://www.zerozero.pt/img/jogadores/new/88/08/468808_oliver_abildgaard_20250127155600.jpg
14,Matthis Abline,https://www.zerozero.pt/jogador/matthis-abline/754007,https://www.zerozero.pt/img/jogadores/new/40/07/754007_matthis_abline_20241204172912.png
15,Abner,https://www.zerozero.pt/jogador/abner-vinicius/648028,https://www.zerozero.pt/img/jogadores/new/80/28/648028_abner_vinicius_20240705114652.png
16,Zakaria Aboukhlal,https://www.zerozero.pt/jogador/zakaria-aboukhlal/564496,https://www.zerozero.pt/img/jogadores/new/44/96/564496_zakaria_aboukhlal_20241215004150.png
